Infraestructura_Digital;Competencia_Digital_Docente;Uso_Pedagogico_TIC;Liderazgo_Estrategia;Equidad_Resultados;ISDE;Ítem 1 — Disponibilidad de dispositivos para el alumnado en mi aula.;Ítem 2 — Conectividad estable del centro (banda ancha y Wi-Fi confiable en el aula).;Ítem 3 — Acceso a plataformas de gestión del aprendizaje (LMS) y recursos digitales en el centro.;Ítem 4 — Formación recibida en competencias digitales pedagógicas en los últimos 2 años.;Ítem 5 — Confianza en el uso de herramientas digitales para diseñar actividades pedagógicas.;Ítem 6 — Uso de metodologías activas mediadas por TIC (flipped, gamificación, ABP, aprendizaje adaptativo).;Ítem 7 — Integración de la evaluación digital (quizzes en LMS, rúbricas digitales, analítica de aprendizaje).;Ítem 8 — Apoyo técnico y mantenimiento en el centro (tiempo de respuesta, asistencia).;Ítem 9 — Política del centro sobre uso de dispositivos y uso seguro / ético (protección de datos, ciberseguridad, netiqueta).;Ítem 10 — Percepción del impacto de las TICs en el rendimiento y la motivación del alumnado.;Ítem 11 — Capacidad para adaptar y personalizar actividades con TIC (atención a la diversidad).;Ítem 12 — Colaboración docente apoyada por TIC (comunicación entre profesores, recursos compartidos, comunidades de práctica).;Ítem 13 — Uso de datos (Learning Analytics) para tomar decisiones pedagógicas.;Ítem 15 — Disposición del/la docente a innovar pedagógicamente con TIC y a participar en proyectos de mejora digital.;Ítem 14 — Conciencia y prácticas sobre equidad digital del alumnado (acceso, recursos, soporte fuera de la escuela).
0,13;0,64;0,3;0,5;0,45;0,4;1;2;3;3;4;2;1;1;3;2;4;4;3;3;3
0,33;0,45;0,5;0,5;0,36;0,43;5;2;1;3;4;3;4;2;2;3;2;2;3;4;1
0,87;0,64;0,8;0,88;0,82;0,8;5;5;5;3;4;4;4;3;5;4;4;4;4;4;4
0,6;0,55;0,6;0,62;0,64;0,6;4;3;3;4;3;3;3;4;4;3;3;4;3;3;4
0,6;0,45;0,6;0,62;0,64;0,58;4;4;3;3;3;3;4;3;4;3;3;3;4;3;3
0,67;0,36;0,4;0,75;0,64;0,56;4;4;4;2;3;3;2;3;5;3;3;3;3;3;4
0,33;0,45;0,7;0,5;0,55;0,51;1;3;3;3;3;3;4;3;3;3;3;4;3;3;3
0,73;0,64;0,9;1;0,64;0,78;5;4;3;3;5;4;4;4;5;3;3;5;3;5;4
0,6;0,27;0,4;0,62;0,18;0,42;5;2;4;1;3;1;5;3;3;2;3;2;1;4;2
0,8;1;1;1;0,55;0,87;4;5;3;5;5;5;5;5;5;4;5;4;4;5;1
0,73;0,45;0,6;0,75;0,55;0,62;3;5;4;3;3;3;4;4;4;3;3;3;3;4;3
0,13;0,27;0,1;0;0,09;0,12;1;3;1;3;3;2;2;2;1;1;1;1;1;1;2
0,8;0,55;0,7;0,88;1;0,78;3;5;5;3;4;4;3;4;5;5;3;4;5;4;4
0,6;0,27;0,4;0,5;0,55;0,46;4;4;2;2;2;3;2;4;3;4;3;3;2;3;3
0,33;0,27;0,6;0,5;0,36;0,41;2;4;1;1;3;3;3;3;3;3;3;4;3;3;1
0,6;0,36;0,6;0,75;0,45;0,55;5;5;1;1;4;3;4;3;4;4;3;3;1;4;3
0,4;0,45;0,3;0,5;0,36;0,4;3;4;2;3;3;2;2;2;2;3;3;3;2;4;2
0,13;0;0,3;0;0,09;0,1;1;3;2;1;1;1;3;1;1;1;2;3;1;1;2
0,4;0,45;0,3;0,5;0,36;0,4;4;3;1;3;2;2;2;3;4;3;4;3;2;2;2
0,47;0,45;0,6;0,5;0,73;0,55;3;4;3;1;4;3;4;2;2;4;4;3;4;4;3
0,6;0,55;0,5;0,62;0,55;0,56;3;4;3;3;4;3;3;4;4;3;3;3;3;3;3
0,67;0,45;0,5;0,62;0,45;0,54;2;4;5;3;3;2;4;4;4;3;3;3;3;3;2
0,4;0,09;0,2;0,38;0,36;0,29;3;3;2;2;1;2;2;3;3;3;2;2;2;2;2
1;0,91;0,9;1;1;0,96;5;5;5;4;5;5;5;5;5;5;5;3;4;5;5
0,6;0,45;0,6;0,5;0,45;0,52;1;5;3;3;3;3;3;5;4;2;3;4;3;2;3
0,53;0,27;0,5;0,62;0,45;0,48;1;4;4;3;2;3;2;4;4;3;2;4;2;3;3
0,93;0,73;0,8;0,88;0,91;0,85;5;4;5;4;4;4;4;5;5;4;4;4;4;4;5
0,6;0,18;0,2;0,12;0,09;0,24;4;3;3;3;2;3;2;4;1;1;1;1;1;2;2
0,33;0,82;0,7;0,88;0,55;0,65;2;2;3;4;5;4;4;3;5;4;4;3;3;4;2
0,8;0,82;0,6;0,62;0,64;0,7;5;4;5;4;5;4;3;3;3;3;4;3;4;4;3
0,4;0,55;0,5;0,5;0,45;0,48;4;4;1;4;3;3;2;2;3;3;3;4;3;3;2
0,4;0,64;0,5;0,38;0,36;0,45;4;3;2;4;4;3;2;2;2;3;3;4;1;3;3
0;0,82;0,5;0,5;0,55;0,47;1;2;1;5;4;3;3;1;1;3;4;3;4;5;2
0,4;0,27;0,4;0,5;0;0,31;3;3;2;3;3;2;4;3;5;1;1;2;1;1;1
0,33;0,09;0;0;0,09;0,1;4;3;1;3;1;1;1;2;1;2;1;2;1;1;1
0,67;0,73;0,7;0,88;0,73;0,74;3;5;3;4;4;3;4;4;5;3;4;4;4;4;4
0,4;0,91;0,6;0,75;0,55;0,64;2;2;5;4;5;3;4;2;3;4;5;3;1;5;4
0,47;0,45;0,5;0,25;0,27;0,39;5;2;3;3;3;3;3;2;2;2;3;3;1;2;3
0,4;0,36;0,5;0,5;0,27;0,41;4;2;3;3;3;3;3;2;3;3;2;3;1;3;2
0,8;0,73;0,8;0,75;0,91;0,8;4;5;4;4;5;4;4;4;4;4;3;4;4;4;5
0,53;0,36;0,6;0,38;0,27;0,43;1;4;4;3;3;4;3;4;2;3;2;3;2;3;1
0,53;0,73;0,7;0,75;0,82;0,71;1;5;4;4;5;3;4;3;4;4;3;4;5;4;3
0,73;0,18;0,3;0,75;0,73;0,54;5;4;3;1;4;3;2;4;4;5;1;2;1;4;5
0,87;0,55;0,7;0,75;0,55;0,68;5;4;4;3;4;3;3;5;4;3;3;5;3;4;3
0,2;0,45;0,5;0,75;0,36;0,45;2;3;1;3;3;2;4;2;5;3;3;3;1;3;3
